date,serial_number,model,capacity_bytes,failure,smart_5_normalized,smart_187_normalized,smart_188_normalized,smart_197_normalized,smart_198_normalized
26/2/2019,ZJV00FJ4,ST12000NM0007,1.20E+13,1,99,99,100,100,100
26/2/2019,ZA12JTD2,ST8000DM002,8.00E+12,1,100,100,100,100,100
26/2/2019,ZA170TQ1,ST8000NM0055,8.00E+12,1,100,100,100,100,100
26/2/2019,ZJV2ESYX,ST12000NM0007,1.20E+13,1,100,100,100,92,92
26/2/2019,WD-WXB1AB51LRX7,WDC WD5000LPCX,5.00E+11,1,200,,,200,100
27/2/2019,S3010LCN,ST4000DM000,4.00E+12,1,100,96,100,100,100
27/2/2019,PL2331LAG9L1WJ,HGST HMS5C4040ALE640,4.00E+12,1,100,,,100,100
27/2/2019,ZA12YJK7,ST8000NM0055,8.00E+12,1,100,100,100,100,100
27/2/2019,Z304J0NT,ST4000DM000,4.00E+12,1,100,97,100,100,100
28/2/2019,S301NH5Z,ST4000DM000,4.00E+12,1,98,93,100,100,100
28/2/2019,ZCH0DYK0,ST12000NM0007,1.20E+13,1,100,100,100,100,100
28/2/2019,ZCH0AXMF,ST12000NM0007,1.20E+13,1,99,99,100,100,100
28/2/2019,ZCH03YFN,ST12000NM0007,1.20E+13,1,100,97,100,100,100
1/3/2019,ZCH0547F,ST12000NM0007,1.20E+13,1,100,100,100,100,100
1/3/2019,57QEWPXQT,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
1/3/2019,ZJV1L5N1,ST12000NM0007,1.20E+13,1,100,100,100,100,100
1/3/2019,ZA153SZQ,ST8000NM0055,8.00E+12,1,100,100,100,100,100
1/3/2019,ZA13GZB3,ST8000NM0055,8.00E+12,1,100,100,100,100,100
2/3/2019,S2ZYJ9GGB01043,ST500LM012 HN,5.00E+11,1,252,,,99,252
2/3/2019,ZCH07NZM,ST12000NM0007,1.20E+13,1,100,100,100,100,100
3/3/2019,ZA180QNJ,ST8000NM0055,8.00E+12,1,100,100,100,100,100
3/3/2019,ZA131FYF,ST8000NM0055,8.00E+12,1,100,98,100,100,100
3/3/2019,ZCH0BNS3,ST12000NM0007,1.20E+13,1,100,98,100,100,100
3/3/2019,ZCH0BWVW,ST12000NM0007,1.20E+13,1,100,99,100,100,100
3/3/2019,ZA13YLQ9,ST8000DM002,8.00E+12,1,98,98,100,100,100
4/3/2019,ZCH06WEZ,ST12000NM0007,1.20E+13,1,100,100,100,100,100
4/3/2019,8HK19G2H,HGST HUH721212ALN604,1.20E+13,1,100,,,100,100
4/3/2019,ZCH0CN2T,ST12000NM0007,1.20E+13,1,100,100,100,100,100
4/3/2019,ZA13ZRYH,ST8000DM002,8.00E+12,1,100,100,100,100,100
4/3/2019,ZA180R77,ST8000NM0055,8.00E+12,1,100,100,100,100,100
4/3/2019,ZCH0783C,ST12000NM0007,1.20E+13,1,96,83,100,100,100
4/3/2019,Z30251SR,ST4000DM000,4.00E+12,1,100,100,100,100,100
4/3/2019,ZA180R1C,ST8000NM0055,8.00E+12,1,100,98,100,100,100
4/3/2019,PL1331LAHENJ2H,HGST HMS5C4040BLE640,4.00E+12,1,100,,,100,100
5/3/2019,57GGPD9NT,TOSHIBA MQ01ABF050,5.00E+11,1,100,,,100,100
6/3/2019,Z4D05TMX,ST6000DX000,6.00E+12,1,100,100,100,100,100
